DATA,CPT_15203,1.87,8.4404,0.055527,0.0025,,,,,
DATA,CPT_15203,1.88,8.3523,0.054642,0.0016,,,,,
DATA,CPT_15203,1.89,8.2763,0.053445,0.0016,,,,,
DATA,CPT_15203,1.9,8.2123,0.05152,0.0016,,,,,
DATA,CPT_15203,1.91,8.1002,0.051051,0.0032,,,,,
DATA,CPT_15203,1.92,8.1002,0.049854,0.0009,,,,,
DATA,CPT_15203,1.93,8.0602,0.049074,0.0007,,,,,
DATA,CPT_15203,1.94,8.0162,0.048709,0.0006,,,,,
DATA,CPT_15203,1.95,7.8921,0.048345,0.0006,,,,,
DATA,CPT_15203,1.96,7.8521,0.047929,0.0007,,,,,
DATA,CPT_15203,1.97,7.8121,0.047616,0.0007,,,,,
DATA,CPT_15203,1.98,7.76,0.04746,0.0007,,,,,
DATA,CPT_15203,1.99,7.688,0.0472,0.0752,,,,,
DATA,CPT_15203,2,7.608,0.043765,0.0752,,,,,
DATA,CPT_15203,2.01,7.5559,0.039446,0.0755,,,,,
DATA,CPT_15203,2.02,7.4599,0.038821,0.0757,,,,,
DATA,CPT_15203,2.03,7.3518,0.038301,0.0763,,,,,
DATA,CPT_15203,2.04,7.2318,0.038041,0.0765,,,,,
DATA,CPT_15203,2.05,7.1077,0.037728,0.0765,,,,,
DATA,CPT_15203,2.06,6.9716,0.037468,0.0763,,,,,
DATA,CPT_15203,2.07,5.9871,0.036948,0.0763,,,,,
DATA,CPT_15203,2.08,6.5434,0.036948,0.0763,,,,,
DATA,CPT_15203,2.09,6.4434,0.036583,0.0754,,,,,
DATA,CPT_15203,2.1,6.3153,0.035855,0.0734,,,,,
DATA,CPT_15203,2.11,6.2032,0.035543,0.0702,,,,,
DATA,CPT_15203,2.12,5.9151,0.035022,0.0715,,,,,
DATA,CPT_15203,2.13,5.767,0.034294,0.0722,,,,,
DATA,CPT_15203,2.14,5.6189,0.033929,0.0731,,,,,
DATA,CPT_15203,2.15,5.4548,0.033669,0.0739,,,,,
DATA,CPT_15203,2.16,5.2867,0.033044,0.0751,,,,,
DATA,CPT_15203,2.17,5.1387,0.032472,0.0756,,,,,
DATA,CPT_15203,2.18,4.9666,0.0319,0.0758,,,,,
DATA,CPT_15203,2.19,4.7865,0.031691,0.076,,,,,
DATA,CPT_15203,2.2,4.6104,0.031015,0.0758,,,,,
DATA,CPT_15203,2.21,4.4063,0.030494,0.0756,,,,,
DATA,CPT_15203,2.22,4.2222,0.029818,0.0757,,,,,
DATA,CPT_15203,2.23,4.0021,0.029349,0.0758,,,,,
DATA,CPT_15203,2.24,3.782,0.028829,0.0761,,,,,
DATA,CPT_15203,2.25,3.5538,0.027996,0.076,,,,,
DATA,CPT_15203,2.26,3.3377,0.027424,0.0762,,,,,
DATA,CPT_15203,2.27,3.0856,0.026747,0.0762,,,,,
DATA,CPT_15203,2.28,2.8415,0.026227,0.0763,,,,,
DATA,CPT_15203,2.29,2.5893,0.025863,0.0766,,,,,
DATA,CPT_15203,2.3,2.3612,0.025706,0.0763,,,,,
DATA,CPT_15203,2.31,2.1531,0.025706,0.0757,,,,,
DATA,CPT_15203,2.32,1.933,0.025654,0.0754,,,,,
DATA,CPT_15203,2.33,1.7489,0.025863,0.0755,,,,,
DATA,CPT_15203,2.34,1.5848,0.025706,0.0752,,,,,
DATA,CPT_15203,2.35,1.4127,0.025654,0.0752,,,,,
DATA,CPT_15203,2.36,1.2687,0.026539,0.0753,,,,,
DATA,CPT_15203,2.37,1.1606,0.02732,0.0757,,,,,
DATA,CPT_15203,2.38,1.0525,0.028933,0.0757,,,,,
DATA,CPT_15203,2.39,0.9645,0.028361,0.076,,,,,
DATA,CPT_15203,2.4,0.91247,0.029193,0.0761,,,,,
DATA,CPT_15203,2.41,0.89647,0.030182,0.0765,,,,,
DATA,CPT_15203,2.42,0.90447,0.030234,0.0763,,,,,
DATA,CPT_15203,2.43,0.88846,0.030026,0.0764,,,,,
DATA,CPT_15203,2.44,0.84844,0.028985,0.0764,,,,,
DATA,CPT_15203,2.45,0.83243,0.028465,0.0766,,,,,
DATA,CPT_15203,2.46,0.88846,0.027476,0.0769,,,,,
DATA,CPT_15203,2.47,1.0405,0.018889,0.0769,,,,,
DATA,CPT_15203,2.48,1.2486,0.018004,0.0776,,,,,
DATA,CPT_15203,2.49,1.5088,0.014725,0.0778,,,,,
DATA,CPT_15203,2.5,1.7329,0.013789,0.078,,,,,
DATA,CPT_15203,2.51,1.913,0.013112,0.0778,,,,,
DATA,CPT_15203,2.52,2.1811,0.012384,0.0777,,,,,
DATA,CPT_15203,2.53,2.2612,0.0128,0.078,,,,,
DATA,CPT_15203,2.54,2.3572,0.012748,0.0782,,,,,
DATA,CPT_15203,2.55,2.2011,0.012644,0.0782,,,,,
DATA,CPT_15203,2.56,2.3772,0.012852,0.0782,,,,,
DATA,CPT_15203,2.57,2.4693,0.013476,0.0805,,,,,
DATA,CPT_15203,2.58,2.5933,0.014361,0.0804,,,,,
DATA,CPT_15203,2.59,2.6974,0.014465,0.0804,,,,,
DATA,CPT_15203,2.6,2.8015,0.014934,0.08,,,,,
DATA,CPT_15203,2.61,2.9095,0.015402,0.0797,,,,,
DATA,CPT_15203,2.62,3.0216,0.015766,0.0788,,,,,
DATA,CPT_15203,2.63,3.1256,0.016131,0.0791,,,,,
DATA,CPT_15203,2.64,3.2417,0.016755,0.08,,,,,
DATA,CPT_15203,2.65,3.3778,0.017328,0.0802,,,,,
DATA,CPT_15203,2.66,3.4938,0.0179,0.0808,,,,,
DATA,CPT_15203,2.67,3.6019,0.018421,0.0814,,,,,
DATA,CPT_15203,2.68,3.7139,0.018889,0.0808,,,,,
DATA,CPT_15203,2.69,3.818,0.019565,0.0789,,,,,
DATA,CPT_15203,2.7,3.906,0.020294,0.0783,,,,,
DATA,CPT_15203,2.71,4.0301,0.020971,0.0777,,,,,
DATA,CPT_15203,2.72,4.1261,0.021699,0.0755,,,,,
DATA,CPT_15203,2.73,4.2422,0.022011,0.0739,,,,,
DATA,CPT_15203,2.74,4.3262,0.022792,0.0729,,,,,
DATA,CPT_15203,2.75,4.4143,0.023469,0.0727,,,,,
DATA,CPT_15203,2.76,4.5023,0.024405,0.0729,,,,,
DATA,CPT_15203,2.77,4.6064,0.025082,0.0718,,,,,
DATA,CPT_15203,2.78,4.6984,0.025654,0.0729,,,,,
DATA,CPT_15203,2.79,4.7825,0.026331,0.0728,,,,,
DATA,CPT_15203,2.8,4.8545,0.026695,0.0723,,,,,
DATA,CPT_15203,2.81,4.9386,0.027372,0.0726,,,,,
DATA,CPT_15203,2.82,5.0106,0.028152,0.0709,,,,,
DATA,CPT_15203,2.83,5.1187,0.028621,0.0715,,,,,
DATA,CPT_15203,2.84,5.2908,0.028933,0.0719,,,,,
DATA,CPT_15203,2.85,5.2908,0.029558,0.0719,,,,,
DATA,CPT_15203,2.86,5.3748,0.030807,0.0722,,,,,
DATA,CPT_15203,2.87,5.5629,0.030807,0.0726,,,,,
DATA,CPT_15203,2.88,5.6509,0.031483,0.0728,,,,,
DATA,CPT_15203,2.89,5.6509,0.032368,0.0729,,,,,
DATA,CPT_15203,2.9,5.739,0.032836,0.0731,,,,,
DATA,CPT_15203,2.91,5.9151,0.033669,0.0733,,,,,
DATA,CPT_15203,2.92,6.0071,0.033669,0.0735,,,,,
DATA,CPT_15203,2.93,6.1032,0.034398,0.0736,,,,,
DATA,CPT_15203,2.94,6.2192,0.034502,0.0733,,,,,
DATA,CPT_15203,2.95,6.3433,0.03471,0.0712,,,,,
DATA,CPT_15203,2.96,6.4594,0.035386,0.0683,,,,,
DATA,CPT_15203,2.97,6.5834,0.036011,0.068,,,,,
DATA,CPT_15203,2.98,6.7435,0.036271,0.067,,,,,
DATA,CPT_15203,2.99,6.8636,0.037052,0.0672,,,,,
DATA,CPT_15203,3,7.0197,0.03726,0.0675,,,,,
