GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,SASW03,35.637925,139.93356,GPVS,,21,2015-07-13,2015-07-13,
" "
GROUP,GPVS
HEADING,LOCA_ID,LOCA_ID2,LOCA_ID3,GPVS_TYPE,GPVS_CONF,GPVS_CREW,GPVS_REM
UNIT,,,,,,,
TYPE,ID,ID,ID,X,X,X,X
DATA,SASW03,,,GSWD,,"R Kayen / UCLA",
" "
GROUP,LOCF
HEADING,LOCA_ID,LOCF_NAME,LOCF_DESC,FILE_NAME
UNIT,,,,
TYPE,ID,X,X,X
DATA,SASW03,1008UR,"Original report","1008UR URAYASU.xlsx"
" "
GROUP,GSWD
HEADING,LOCA_ID,GSWD_WVLN,GSWD_FREQ,GSWD_PHVL,GPVS_REM
UNIT,,m,HZ,m/s,
TYPE,ID,2DP,3DP,2DP,X
DATA,SASW03,8.43,,155,
DATA,SASW03,8.47,,155,
DATA,SASW03,8.5,,155,
DATA,SASW03,8.53,,155,
DATA,SASW03,8.57,,155,
DATA,SASW03,8.59,,155,
DATA,SASW03,8.64,,156,
DATA,SASW03,8.64,,156,
DATA,SASW03,8.7,,156,
DATA,SASW03,8.7,,156,
DATA,SASW03,8.76,,156,
DATA,SASW03,8.76,,156,
DATA,SASW03,8.82,,156,
DATA,SASW03,8.83,,156,
DATA,SASW03,8.88,,156,
DATA,SASW03,8.89,,157,
DATA,SASW03,8.94,,157,
DATA,SASW03,8.96,,157,
DATA,SASW03,9,,157,
DATA,SASW03,9.03,,157,
DATA,SASW03,9.06,,157,
DATA,SASW03,9.1,,157,
DATA,SASW03,9.12,,157,
DATA,SASW03,9.18,,156,
DATA,SASW03,9.18,,155,
DATA,SASW03,9.25,,155,
DATA,SASW03,9.25,,154,
DATA,SASW03,9.27,,153,
DATA,SASW03,9.29,,152,
DATA,SASW03,9.3,,152,
DATA,SASW03,9.32,,151,
DATA,SASW03,9.32,,151,
DATA,SASW03,9.34,,151,
DATA,SASW03,9.36,,150,
DATA,SASW03,9.38,,150,
DATA,SASW03,9.4,,150,
DATA,SASW03,9.4,,150,
DATA,SASW03,9.42,,151,
DATA,SASW03,9.47,,152,
DATA,SASW03,9.48,,153,
DATA,SASW03,9.54,,153,
DATA,SASW03,9.56,,154,
DATA,SASW03,9.6,,155,
DATA,SASW03,9.64,,155,
DATA,SASW03,9.67,,155,
DATA,SASW03,9.72,,155,
DATA,SASW03,9.74,,155,
DATA,SASW03,9.8,,154,
DATA,SASW03,9.81,,154,
DATA,SASW03,9.88,,154,
DATA,SASW03,9.89,,154,
DATA,SASW03,9.95,,155,
DATA,SASW03,9.97,,155,
DATA,SASW03,10.02,,156,
DATA,SASW03,10.06,,157,
DATA,SASW03,10.11,,158,
DATA,SASW03,10.15,,159,
DATA,SASW03,10.24,,160,
DATA,SASW03,10.24,,160,
DATA,SASW03,10.33,,161,
DATA,SASW03,10.37,,161,
DATA,SASW03,10.43,,162,
DATA,SASW03,10.5,,162,
DATA,SASW03,10.52,,162,
DATA,SASW03,10.62,,163,
DATA,SASW03,10.63,,163,
DATA,SASW03,10.71,,163,
DATA,SASW03,10.77,,164,
DATA,SASW03,10.79,,164,
DATA,SASW03,10.86,,165,
DATA,SASW03,10.92,,166,
DATA,SASW03,10.94,,166,
DATA,SASW03,11.02,,166,
DATA,SASW03,11.06,,167,
DATA,SASW03,11.1,,167,
DATA,SASW03,11.18,,167,
DATA,SASW03,11.21,,167,
DATA,SASW03,11.26,,167,
DATA,SASW03,11.35,,166,
DATA,SASW03,11.37,,166,
DATA,SASW03,11.43,,166,
DATA,SASW03,11.5,,166,
DATA,SASW03,11.52,,166,
DATA,SASW03,11.61,,167,
DATA,SASW03,11.65,,167,
DATA,SASW03,11.7,,167,
DATA,SASW03,11.79,,168,
DATA,SASW03,11.79,,168,
DATA,SASW03,11.89,,169,
DATA,SASW03,11.94,,169,
DATA,SASW03,11.98,,169,
DATA,SASW03,12.08,,169,
DATA,SASW03,12.09,,169,
DATA,SASW03,12.18,,169,
DATA,SASW03,12.25,,169,
DATA,SASW03,12.28,,169,
DATA,SASW03,12.39,,170,
DATA,SASW03,12.41,,170,
DATA,SASW03,12.49,,170,
DATA,SASW03,12.58,,171,
DATA,SASW03,12.6,,171,
DATA,SASW03,12.7,,171,
DATA,SASW03,12.75,,172,
DATA,SASW03,12.77,,172,
DATA,SASW03,12.84,,172,
DATA,SASW03,12.87,,172,
DATA,SASW03,12.92,,171,
DATA,SASW03,12.98,,170,
DATA,SASW03,12.99,,168,
DATA,SASW03,13.06,,167,
DATA,SASW03,13.09,,165,
DATA,SASW03,13.14,,163,
DATA,SASW03,13.16,,162,
DATA,SASW03,13.2,,160,
DATA,SASW03,13.22,,160,
DATA,SASW03,13.27,,159,
DATA,SASW03,13.3,,159,
DATA,SASW03,13.32,,159,
DATA,SASW03,13.37,,160,
DATA,SASW03,13.39,,159,
DATA,SASW03,13.43,,159,
DATA,SASW03,13.45,,158,
DATA,SASW03,13.51,,156,
DATA,SASW03,13.55,,154,
DATA,SASW03,13.55,,152,
DATA,SASW03,13.63,,150,
DATA,SASW03,13.67,,148,
DATA,SASW03,13.76,,147,
DATA,SASW03,13.8,,145,
DATA,SASW03,13.88,,145,
DATA,SASW03,13.94,,144,
DATA,SASW03,14.01,,144,
DATA,SASW03,14.09,,144,
DATA,SASW03,14.14,,144,
DATA,SASW03,14.26,,144,
DATA,SASW03,14.28,,144,
DATA,SASW03,14.41,,144,
DATA,SASW03,14.42,,144,
DATA,SASW03,14.55,,144,
DATA,SASW03,14.59,,145,
DATA,SASW03,14.69,,145,
DATA,SASW03,14.76,,145,
DATA,SASW03,14.82,,145,
DATA,SASW03,14.94,,145,
DATA,SASW03,14.95,,145,
DATA,SASW03,15.08,,144,
DATA,SASW03,15.12,,144,
DATA,SASW03,15.21,,144,
DATA,SASW03,15.31,,144,
DATA,SASW03,15.35,,145,
DATA,SASW03,15.48,,145,
DATA,SASW03,15.49,,145,
DATA,SASW03,15.62,,146,
DATA,SASW03,15.64,,146,
DATA,SASW03,15.76,,146,
DATA,SASW03,15.79,,146,
DATA,SASW03,15.91,,146,
DATA,SASW03,15.95,,147,
DATA,SASW03,16.05,,147,
DATA,SASW03,16.1,,146,
DATA,SASW03,16.2,,146,
DATA,SASW03,16.27,,146,
DATA,SASW03,16.35,,146,
DATA,SASW03,16.43,,146,
DATA,SASW03,16.51,,146,
DATA,SASW03,16.6,,146,
DATA,SASW03,16.67,,146,
DATA,SASW03,16.77,,146,
DATA,SASW03,16.83,,146,
DATA,SASW03,16.95,,145,
DATA,SASW03,17,,145,
DATA,SASW03,17.17,,145,
DATA,SASW03,17.2,,145,
DATA,SASW03,17.34,,145,
DATA,SASW03,17.47,,145,
DATA,SASW03,17.52,,146,
DATA,SASW03,17.71,,146,
DATA,SASW03,17.74,,146,
DATA,SASW03,17.89,,146,
DATA,SASW03,18.02,,146,
DATA,SASW03,18.08,,146,
DATA,SASW03,18.28,,147,
DATA,SASW03,18.32,,147,
DATA,SASW03,18.48,,147,
DATA,SASW03,18.62,,147,
DATA,SASW03,18.68,,147,
DATA,SASW03,18.89,,147,
DATA,SASW03,18.93,,148,
DATA,SASW03,19.1,,148,
DATA,SASW03,19.25,,148,
DATA,SASW03,19.32,,148,
DATA,SASW03,19.54,,148,
DATA,SASW03,19.59,,148,
DATA,SASW03,19.77,,149,
DATA,SASW03,19.93,,149,
DATA,SASW03,19.99,,149,
DATA,SASW03,20.21,,149,
DATA,SASW03,20.28,,149,
DATA,SASW03,20.43,,149,
DATA,SASW03,20.65,,149,
DATA,SASW03,20.66,,149,
DATA,SASW03,20.9,,149,
DATA,SASW03,21.03,,149,
DATA,SASW03,21.14,,150,
DATA,SASW03,21.39,,150,
DATA,SASW03,21.42,,150,
DATA,SASW03,21.64,,150,
DATA,SASW03,21.83,,151,
DATA,SASW03,21.9,,151,
DATA,SASW03,22.17,,151,
DATA,SASW03,22.25,,151,
DATA,SASW03,22.44,,152,
DATA,SASW03,22.69,,152,
DATA,SASW03,22.72,,152,
DATA,SASW03,23,,153,
DATA,SASW03,23.15,,153,
DATA,SASW03,23.29,,153,
DATA,SASW03,23.59,,153,
DATA,SASW03,23.61,,153,
DATA,SASW03,23.96,,153,
DATA,SASW03,23.96,,154,
DATA,SASW03,24.33,,154,
DATA,SASW03,24.34,,154,
DATA,SASW03,24.71,,155,
DATA,SASW03,24.74,,155,
DATA,SASW03,25.1,,155,
DATA,SASW03,25.15,,155,
DATA,SASW03,25.5,,154,
DATA,SASW03,25.57,,154,
DATA,SASW03,25.92,,153,
DATA,SASW03,26.35,,152,
DATA,SASW03,26.8,,151,
DATA,SASW03,27.26,,151,
DATA,SASW03,27.73,,151,
DATA,SASW03,28.23,,151,
DATA,SASW03,28.74,,152,
DATA,SASW03,29.27,,153,
DATA,SASW03,29.82,,154,
DATA,SASW03,30.46,,156,
DATA,SASW03,31.22,,157,
DATA,SASW03,32.02,,159,
DATA,SASW03,32.86,,160,
DATA,SASW03,33.75,,161,
DATA,SASW03,34.68,,162,
" "
GROUP,GSWV
HEADING,LOCA_ID,GSWV_TOP,GSWV_BTTM,GSWV_VS,GSWV_REM
UNIT,,m,m,m/s,
TYPE,ID,2DP,2DP,1DP,X
DATA,SASW03,0,6,168.7,
DATA,SASW03,6,11,168.2,
DATA,SASW03,11,16.1,140.1,
DATA,SASW03,16.1,21.4,214.1,
" "
" "
" "
" "
