GROUP,PROJ,,,,,,,,,,
HEADING,PROJ_ID,PROJ_NAME,PROJ_LAT,PROJ_LON,PROJ_ELEV,PROJ_GEOL,PROJ_REM,,,,
DATA,CPT_26000,1.44,12.23,0.1343,0.0023,,,,,,
DATA,CPT_26000,1.45,12.08,0.1341,0.0014,,,,,,
DATA,CPT_26000,1.46,11.84,0.1333,0.0012,,,,,,
DATA,CPT_26000,1.47,11.75,0.1329,0.0011,,,,,,
DATA,CPT_26000,1.48,11.66,0.1323,0.0011,,,,,,
DATA,CPT_26000,1.49,11.6,0.1315,0.001,,,,,,
DATA,CPT_26000,1.5,11.45,0.1296,0.0017,,,,,,
DATA,CPT_26000,1.51,11.37,0.1286,0.0014,,,,,,
DATA,CPT_26000,1.52,11.31,0.1271,0.0013,,,,,,
DATA,CPT_26000,1.53,11.24,0.1252,0.0012,,,,,,
DATA,CPT_26000,1.54,11.18,0.1236,0.0011,,,,,,
DATA,CPT_26000,1.55,11.09,0.1185,0.001,,,,,,
DATA,CPT_26000,1.56,11.06,0.1162,0.0024,,,,,,
DATA,CPT_26000,1.57,11.06,0.114,0.0023,,,,,,
DATA,CPT_26000,1.58,11.05,0.1118,0.0015,,,,,,
DATA,CPT_26000,1.59,11.01,0.1076,0.0013,,,,,,
DATA,CPT_26000,1.6,10.93,0.1054,0.0012,,,,,,
DATA,CPT_26000,1.61,10.77,0.1039,0.0011,,,,,,
DATA,CPT_26000,1.62,10.59,0.1027,0.0011,,,,,,
DATA,CPT_26000,1.63,10.13,0.1002,0.0024,,,,,,
DATA,CPT_26000,1.64,9.9,0.0991,0.0021,,,,,,
DATA,CPT_26000,1.65,9.71,0.0977,0.0014,,,,,,
DATA,CPT_26000,1.66,9.55,0.0967,0.0014,,,,,,
DATA,CPT_26000,1.67,9.43,0.0958,0.0013,,,,,,
DATA,CPT_26000,1.68,9.24,0.0939,0.0012,,,,,,
DATA,CPT_26000,1.69,9.16,0.0927,0.0011,,,,,,
DATA,CPT_26000,1.7,9.1,0.0919,0.0011,,,,,,
DATA,CPT_26000,1.71,9.03,0.0909,0.0024,,,,,,
DATA,CPT_26000,1.72,8.93,0.0889,0.0016,,,,,,
DATA,CPT_26000,1.73,8.87,0.0879,0.0014,,,,,,
DATA,CPT_26000,1.74,8.81,0.0866,0.0014,,,,,,
DATA,CPT_26000,1.75,8.76,0.0853,0.0014,,,,,,
DATA,CPT_26000,1.76,8.62,0.0829,0.0012,,,,,,
DATA,CPT_26000,1.77,8.53,0.0816,0.0011,,,,,,
DATA,CPT_26000,1.78,8.41,0.0804,0.0011,,,,,,
DATA,CPT_26000,1.79,8.28,0.0798,0.0021,,,,,,
DATA,CPT_26000,1.8,8.15,0.079,0.0024,,,,,,
DATA,CPT_26000,1.81,7.99,0.0784,0.0015,,,,,,
DATA,CPT_26000,1.82,7.94,0.0778,0.0014,,,,,,
DATA,CPT_26000,1.83,7.91,0.0774,0.0014,,,,,,
DATA,CPT_26000,1.84,7.89,0.0767,0.0014,,,,,,
DATA,CPT_26000,1.85,7.89,0.0756,0.0012,,,,,,
DATA,CPT_26000,1.86,7.93,0.0748,0.0012,,,,,,
DATA,CPT_26000,1.87,7.97,0.0744,0.0012,,,,,,
DATA,CPT_26000,1.88,8.02,0.0736,0.0025,,,,,,
DATA,CPT_26000,1.89,8.14,0.0721,0.0016,,,,,,
DATA,CPT_26000,1.9,8.14,0.0721,0.0016,,,,,,
DATA,CPT_26000,1.91,8.14,0.0721,0.0016,,,,,,
DATA,CPT_26000,1.92,7.71,0.058,0.0032,,,,,,
DATA,CPT_26000,1.93,8.21,0.0549,0.0009,,,,,,
DATA,CPT_26000,1.94,8.37,0.0546,0.0007,,,,,,
DATA,CPT_26000,1.95,8.48,0.0552,0.0006,,,,,,
DATA,CPT_26000,1.96,8.58,0.0562,0.0006,,,,,,
DATA,CPT_26000,1.97,8.66,0.0574,0.0007,,,,,,
DATA,CPT_26000,1.98,8.79,0.0601,0.0007,,,,,,
DATA,CPT_26000,1.99,8.84,0.0615,0.0007,,,,,,
DATA,CPT_26000,10,11.66,0.0827,0.0752,,,,,,
DATA,CPT_26000,10.01,11.57,0.0831,0.0752,,,,,,
DATA,CPT_26000,10.02,11.5,0.0848,0.0755,,,,,,
DATA,CPT_26000,10.03,11.48,0.0851,0.0757,,,,,,
DATA,CPT_26000,10.04,11.66,0.0868,0.0763,,,,,,
DATA,CPT_26000,10.05,11.9,0.0894,0.0765,,,,,,
DATA,CPT_26000,10.06,12.19,0.091,0.0765,,,,,,
DATA,CPT_26000,10.07,12.41,0.0914,0.0763,,,,,,
DATA,CPT_26000,10.08,12.55,0.0923,0.0763,,,,,,
DATA,CPT_26000,10.09,12.75,0.095,0.0763,,,,,,
DATA,CPT_26000,10.1,12.94,0.0959,0.0754,,,,,,
DATA,CPT_26000,10.11,13.2,0.0954,0.0734,,,,,,
DATA,CPT_26000,10.12,13.69,0.0957,0.0702,,,,,,
DATA,CPT_26000,10.13,13.88,0.0959,0.0715,,,,,,
DATA,CPT_26000,10.14,14.01,0.095,0.0722,,,,,,
DATA,CPT_26000,10.15,14.16,0.0934,0.0731,,,,,,
DATA,CPT_26000,10.16,14.31,0.0922,0.0739,,,,,,
DATA,CPT_26000,10.17,14.67,0.0895,0.0751,,,,,,
DATA,CPT_26000,10.18,14.79,0.0892,0.0756,,,,,,
